len,segNum,time(ms)
5610,2362,17
5610,2657,16
5610,2952,13
5610,3247,16
5610,3543,9
5610,3838,12
5610,4133,8
5610,4428,6
5610,4724,4
5610,5019,3
5610,5314,2
5610,5610,4
5797,305,58
5797,610,40
5797,915,38
5797,1220,32
5797,1525,28
5797,1830,32
5797,2135,21
5797,2440,19
5797,2745,17
5797,3051,8
5797,3356,13
5797,3661,11
5797,3966,11
5797,4271,9
5797,4576,11
5797,4881,9
5797,5186,6
5797,5491,3
5797,5797,1
5984,314,57
5984,629,41
5984,944,36
5984,1259,28
5984,1574,27
5984,1889,25
5984,2204,25
5984,2519,18
5984,2834,16
5984,3149,17
5984,3464,13
5984,3779,21
5984,4094,10
5984,4409,8
5984,4724,5
5984,5039,6
5984,5354,3
5984,5669,3
5984,5984,4
6171,324,61
6171,649,44
6171,974,37
6171,1299,33
6171,1623,27
6171,1948,26
6171,2273,21
6171,2598,21
6171,2923,18
6171,3247,17
6171,3572,14
6171,3897,12
6171,4222,8
6171,4547,6
6171,4871,8
6171,5196,2
6171,5521,2
6171,5846,5
6171,6171,3
6358,334,61
6358,669,47
6358,1003,40
6358,1338,31
6358,1673,26
6358,2007,25
6358,2342,22
6358,2677,19
6358,3011,14
6358,3346,14
6358,3680,17
6358,4015,9
6358,4350,14
6358,4684,9
6358,5019,5
6358,5354,8
6358,5688,6
6358,6023,3
6358,6358,2
6545,344,64
6545,688,48
6545,1033,47
6545,1377,34
6545,1722,28
6545,2066,25
6545,2411,24
6545,2755,17
6545,3100,13
6545,3444,18
6545,3789,15
6545,4133,14
6545,4478,0
6545,4822,16
6545,5167,8
6545,5511,5
6545,5856,2
6545,6200,4
6545,6545,4
6732,354,63
6732,708,50
6732,1062,35
6732,1417,34
6732,1771,28
6732,2125,26
6732,2480,22
6732,2834,17
6732,3188,22
6732,3543,17
6732,3897,12
6732,4251,14
6732,4606,10
6732,4960,10
6732,5314,8
6732,5669,9
6732,6023,3
6732,6377,7
6732,6732,4
6919,364,69
6919,728,53
6919,1092,45
6919,1456,35
6919,1820,28
6919,2184,27
6919,2549,24
6919,2913,27
6919,3277,23
6919,3641,16
6919,4005,16
6919,4369,13
6919,4734,14
6919,5098,14
6919,5462,6
6919,5826,1
6919,6190,4
6919,6554,2
6919,6919,1
7106,374,73
7106,748,53
7106,1122,43
7106,1496,38
7106,1870,33
7106,2244,29
7106,2618,26
7106,2992,53
7106,3366,17
7106,3740,16
7106,4114,14
7106,4488,16
7106,4862,10
7106,5236,8
7106,5610,8
7106,5984,7
7106,6358,4
7106,6732,3
7106,7106,5
7293,383,75
7293,767,55
7293,1151,43
7293,1535,36
7293,1919,33
7293,2303,35
7293,2686,24
7293,3070,25
7293,3454,20
7293,3838,16
7293,4222,13
7293,4606,12
7293,4989,11
7293,5373,9
7293,5757,13
7293,6141,8
7293,6525,5
7293,6909,8
7293,7293,1
7480,393,75
7480,787,58
7480,1181,48
7480,1574,40
7480,1968,34
7480,2362,29
7480,2755,23
7480,3149,27
7480,3543,19
7480,3936,18
7480,4330,21
7480,4724,13
7480,5117,8
7480,5511,6
7480,5905,7
7480,6298,6
7480,6692,2
7480,7086,5
7480,7480,6
7667,403,69
7667,807,62
7667,1210,47
7667,1614,37
7667,2017,37
7667,2421,30
7667,2824,34
7667,3228,24
7667,3631,22
7667,4035,16
7667,4438,18
7667,4842,15
7667,5245,14
7667,5649,13
7667,6052,13
7667,6456,10
7667,6859,7
7667,7263,5
7667,7667,3
7854,413,77
7854,826,60
7854,1240,51
7854,1653,43
7854,2066,37
7854,2480,30
7854,2893,9
7854,3306,26
7854,3720,23
7854,4133,21
7854,4547,13
7854,4960,26
7854,5373,12
7854,5787,10
7854,6200,10
7854,6613,3
7854,7027,6
7854,7440,6
7854,7854,4
8041,423,72
8041,846,60
8041,1269,49
8041,1692,44
8041,2116,36
8041,2539,34
8041,2962,27
8041,3385,32
8041,3808,21
8041,4232,19
8041,4655,21
8041,5078,13
8041,5501,13
8041,5924,9
8041,6348,10
8041,6771,8
8041,7194,7
8041,7617,8
8041,8041,4
