len,segNum,time(ms)
5797,4271,10
5797,4576,7
5797,4881,8
5797,5186,6
5797,5491,7
5797,5797,4
5984,314,71
5984,629,53
5984,944,39
5984,1259,30
5984,1574,26
5984,1889,18
5984,2204,21
5984,2519,18
5984,2834,15
5984,3149,13
5984,3464,11
5984,3779,9
5984,4094,13
5984,4409,7
5984,4724,6
5984,5039,4
5984,5354,9
5984,5669,4
5984,5984,4
6171,324,74
6171,649,53
6171,974,43
6171,1299,30
6171,1623,28
6171,1948,25
6171,2273,17
6171,2598,18
6171,2923,16
6171,3247,16
6171,3572,15
6171,3897,11
6171,4222,13
6171,4547,14
6171,4871,6
6171,5196,10
6171,5521,11
6171,5846,7
6171,6171,5
6358,334,77
6358,669,59
6358,1003,44
6358,1338,33
6358,1673,27
6358,2007,26
6358,2342,20
6358,2677,17
6358,3011,15
6358,3346,14
6358,3680,11
6358,4015,10
6358,4350,10
6358,4684,10
6358,5019,7
6358,5354,6
6358,5688,8
6358,6023,1
6358,6358,5
6545,344,81
6545,688,56
6545,1033,48
6545,1377,35
6545,1722,42
6545,2066,24
6545,2411,19
6545,2755,18
6545,3100,32
6545,3444,11
6545,3789,15
6545,4133,13
6545,4478,6
6545,4822,7
6545,5167,13
6545,5511,7
6545,5856,8
6545,6200,7
6545,6545,5
6732,354,87
6732,708,58
6732,1062,43
6732,1417,38
6732,1771,25
6732,2125,21
6732,2480,21
6732,2834,20
6732,3188,22
6732,3543,17
6732,3897,15
6732,4251,15
6732,4606,9
6732,4960,10
6732,5314,10
6732,5669,8
6732,6023,8
6732,6377,9
6732,6732,9
6919,364,83
6919,728,58
6919,1092,47
6919,1456,41
6919,1820,31
6919,2184,21
6919,2549,24
6919,2913,20
6919,3277,17
6919,3641,17
6919,4005,13
6919,4369,12
6919,4734,13
6919,5098,7
6919,5462,15
6919,5826,7
6919,6190,5
6919,6554,6
6919,6919,7
7106,374,89
7106,748,63
7106,1122,45
7106,1496,38
7106,1870,34
7106,2244,28
7106,2618,22
7106,2992,21
7106,3366,20
7106,3740,20
7106,4114,24
7106,4488,15
7106,4862,9
7106,5236,11
7106,5610,14
7106,5984,9
7106,6358,9
7106,6732,10
7106,7106,10
7293,383,87
7293,767,65
7293,1151,48
7293,1535,38
7293,1919,33
7293,2303,26
7293,2686,20
7293,3070,22
7293,3454,19
7293,3838,19
7293,4222,19
7293,4606,14
7293,4989,7
7293,5373,12
7293,5757,14
7293,6141,11
